purchase_id,learner_id,full_name,country,course_id,course_name,category,quantity,unit_price,total_amount,purchase_date
30,5,"Aisha Khan",UAE,110,"Cloud Computing",Technology,1,1800.00,1800.00,2026-02-25
40,5,"Aisha Khan",UAE,105,"SQL Complete Course",Database,1,1300.00,1300.00,2026-03-10
50,5,"Aisha Khan",UAE,115,"Web Development Bootcamp",Programming,1,2500.00,2500.00,2026-03-22
60,5,"Aisha Khan",UAE,125,"Full Stack Web Development",Programming,1,3200.00,3200.00,2026-04-05
70,5,"Aisha Khan",UAE,135,"Mobile App Development",Programming,2,2900.00,5800.00,2026-04-15
11,6,"David Lee",Canada,106,"Tableau Essentials",Analytics,1,1400.00,1400.00,2026-02-02
21,6,"David Lee",Canada,101,"Python for Beginners",Programming,2,1200.00,2400.00,2026-02-14
31,6,"David Lee",Canada,111,"Data Science with Python",AI,2,2200.00,4400.00,2026-03-01
41,6,"David Lee",Canada,106,"Tableau Essentials",Analytics,2,1400.00,2800.00,2026-03-12
51,6,"David Lee",Canada,116,"Deep Learning Fundamentals",AI,1,2600.00,2600.00,2026-03-25
61,6,"David Lee",Canada,126,"Ethical Hacking Essentials","Cyber Security",1,2800.00,2800.00,2026-04-06
12,7,"Sophia Brown",UK,107,"Java Programming",Programming,2,1600.00,3200.00,2026-02-03
22,7,"Sophia Brown",UK,102,"Advanced Excel",Analytics,1,900.00,900.00,2026-02-15
32,7,"Sophia Brown",UK,112,"Cyber Security Basics",Technology,1,1700.00,1700.00,2026-03-02
42,7,"Sophia Brown",UK,107,"Java Programming",Programming,1,1600.00,1600.00,2026-03-13
52,7,"Sophia Brown",UK,117,"React JS Development",Programming,2,2100.00,4200.00,2026-03-26
62,7,"Sophia Brown",UK,127,"Linux Administration",Technology,2,1900.00,3800.00,2026-04-07
13,8,"Arun Prakash",India,108,"Machine Learning Basics",AI,1,2000.00,2000.00,2026-02-05
23,8,"Arun Prakash",India,103,"Power BI Masterclass",Analytics,3,1500.00,4500.00,2026-02-16
33,8,"Arun Prakash",India,113,"Excel Dashboarding",Analytics,2,1000.00,2000.00,2026-03-03
43,8,"Arun Prakash",India,108,"Machine Learning Basics",AI,1,2000.00,2000.00,2026-03-14
53,8,"Arun Prakash",India,118,"Data Visualization with Tableau",Analytics,1,1800.00,1800.00,2026-03-27
63,8,"Arun Prakash",India,128,"UI Design with Figma",Design,1,1600.00,1600.00,2026-04-08
14,9,"Emma Wilson",Australia,109,"UI/UX Design",Design,1,1250.00,1250.00,2026-02-06
24,9,"Emma Wilson",Australia,104,"Digital Marketing",Marketing,1,1100.00,1100.00,2026-02-18
34,9,"Emma Wilson",Australia,114,"Content Marketing",Marketing,1,1150.00,1150.00,2026-03-04
44,9,"Emma Wilson",Australia,109,"UI/UX Design",Design,2,1250.00,2500.00,2026-03-15
54,9,"Emma Wilson",Australia,119,"Google Ads Mastery",Marketing,1,1400.00,1400.00,2026-03-28
64,9,"Emma Wilson",Australia,129,"Business Analytics",Analytics,1,2200.00,2200.00,2026-04-09
15,10,"Mohamed Ali",Egypt,110,"Cloud Computing",Technology,2,1800.00,3600.00,2026-02-07
25,10,"Mohamed Ali",Egypt,105,"SQL Complete Course",Database,2,1300.00,2600.00,2026-02-20
35,10,"Mohamed Ali",Egypt,115,"Web Development Bootcamp",Programming,1,2500.00,2500.00,2026-03-05
45,10,"Mohamed Ali",Egypt,110,"Cloud Computing",Technology,1,1800.00,1800.00,2026-03-16
55,10,"Mohamed Ali",Egypt,120,"MongoDB for Beginners",Database,2,1500.00,3000.00,2026-03-29
65,10,"Mohamed Ali",Egypt,130,"Java Spring Boot",Programming,2,2500.00,5000.00,2026-04-10
